key,description,estimated_duration,priority,type,key:technician,draftMode
#task base
task-01,Revisar el motor,12,8,INSPECTION,technician-01,true
#description variaciones
task-02,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,12,8,INSPECTION,technician-01,true
task-03,洛伦·伊普森,12,8,INSPECTION,technician-01,true
task-04,<marquee>Hacked</marquee>,12,8,INSPECTION,technician-01,true
task-05,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,12,8,INSPECTION,technician-01,true
task-06,X,12,8,INSPECTION,technician-01,true
task-25,XX,12,8,INSPECTION,technician-01,true
task-26,โลเร็ม อิปซัม,12,8,INSPECTION,technician-01,true
task-27,<marquee>Hacked</marquee>,12,8,INSPECTION,technician-01,true
# variaciones estimated_duration
task-07,Revisar el motor,5000,8,INSPECTION,technician-01,true
task-08,Revisar el motor,0,8,INSPECTION,technician-01,true
task-09,Revisar el motor,1,8,INSPECTION,technician-01,true
task-10,Revisar el motor,4999,8,INSPECTION,technician-01,true
# variaciones priority
task-11,Revisar el motor,12,0,INSPECTION,technician-01,true
task-12,Revisar el motor,12,10,INSPECTION,technician-01,true
task-13,Revisar el motor,12,1,INSPECTION,technician-01,true
task-14,Revisar el motor,12,9,INSPECTION,technician-01,true
# variaciones type
task-15,Revisar el motor,12,8,MAINTENANCE,technician-01,true
task-16,Revisar el motor,12,8,REPAIR,technician-01,true
task-17,Revisar el motor,12,8,SYSTEMCHECK,technician-01,true
# draftMode false
task-18,Revisar el motor,12,8,SYSTEMCHECK,technician-01,false
# variaciones para popular
task-19,Revisar las luces,12,8,INSPECTION,technician-02,true
task-20,Revisar el avion,12,8,SYSTEMCHECK,technician-02,false
task-21,Reparar el avion,12,8,REPAIR,technician-01,false
task-22,mantenimiento rutinario del avion,12,8,MAINTENANCE,technician-01,false
task-23,Reparar el avion,12,8,REPAIR,technician-02,false
task-24,Revisar el avion,12,8,INSPECTION,technician-02,false
task-28,Revisar las ruedas,12,8,INSPECTION,technician-02,false
task-30,Revisar luces,12,8,INSPECTION,technician-02,false
task-31,Revisar el asiento del copiloto,12,8,INSPECTION,technician-02,false
